//Anteater
0x0000, Cyrano
0x0001, Antonio
0x0002, Pango
0x0003, Anabelle
0x0004, Snooty
0x0005, Annalisa
0x0006, Olaf
//Bear
0x0007, Teddy
0x0008, Pinky
0x0009, Curt
0x000A, Chow
0x000B, Nate
0x000C, Groucho
0x000D, Tutu
0x000E, Ursala
0x000F, Grizzly
0x0010, Paula
0x0011, Ike
0x0012, Charlise
0x0013, Beardo
0x0014, Klaus
//Bird
0x0015, Jay
0x0016, Robin
0x0017, Anchovy
0x0018, Twiggy
0x0019, Jitters
0x001A, Piper
0x001B, Admiral
0x001C, Midge
0x001D, Jakey
0x001E, Lucha
0x001F, Jacques
0x0020, Peck
0x0021, Sparro
0x0022, Medli
//Bull
0x0023, Angus
0x0024, Rodeo
0x0025, Stu
0x0026, T-Bone
0x0027, Coach
0x0028, Vic
//Cat
0x0029, Bob
0x002A, Mitzi
0x002B, Rosie
0x002C, Olivia
0x002D, Kiki
0x002E, Tangy
0x002F, Punchy
0x0030, Purrl
0x0031, Moe
0x0032, Kabuki
0x0033, Kid Cat
0x0034, Monique
0x0035, Tabby
0x0036, Stinky
0x0037, Kitty
0x0038, Tom
0x0039, Merry
0x003A, Felicity
0x003B, Lolly
0x003C, Ankha
0x003D, Rudy
0x003E, Katt
0x003F, Felyne
//Cub
0x0040, Bluebear
0x0041, Maple
0x0042, Poncho
0x0043, Pudge
0x0044, Kody
0x0045, Stitches
0x0046, Vladimir
0x0047, Murphy
0x0048, Olive
0x0049, Cheri
0x004A, June
0x004B, Pekoe
0x004C, Chester
0x004D, Barold
0x004E, Tammy
0x004F, Marty
//Chicken
0x0050, Goose
0x0051, Benedict
0x0052, Egbert
0x0053, Ava
0x0054, Becky
0x0055, Plucky
0x0056, Knox
0x0057, Broffina
0x0058, Ken
//Cow
0x0059, Patty
0x005A, Tipper
0x005B, Norma
0x005C, Naomi
//Alligator
0x005D, Alfonso
0x005E, Alli
0x005F, Boots
0x0060, Del
0x0061, Sly
0x0062, Gayle
0x0063, Drago
//Deer
0x0064, Fauna
0x0065, Bam
0x0066, Zell
0x0067, Bruce
0x0068, Deirdre
0x0069, Lopez
0x006A, Fuchsia
0x006B, Beau
0x006C, Diana
0x006D, Erik
0x006E, Chelsea
//Dog
0x006F, Goldie
0x0070, Butch
0x0071, Lucky
0x0072, Biskit
0x0073, Bones
0x0074, Portia
0x0075, Walker
0x0076, Daisy
0x0077, Cookie
0x0078, Maddie
0x0079, Bea
0x007A, Mac
0x007B, Marcel
0x007C, Benjamin
0x007D, Cherry
0x007E, Shep
//Duck
0x007F, Bill
0x0080, Joey
0x0081, Pate
0x0082, Maelle
0x0083, Deena
0x0084, Pompom
0x0085, Mallary
0x0086, Freckles
0x0087, Derwin
0x0088, Drake
0x0089, Scoot
0x008A, Weber
0x008B, Miranda
0x008C, Ketchup
0x008D, Gloria
0x008E, Molly
0x008F, Quillson
//Elephant
0x0090, Opal
0x0091, Dizzy
0x0092, Big Top
0x0093, Eloise
0x0094, Margie
0x0095, Paolo
0x0096, Axel
0x0097, Ellie
0x0098, Tucker
0x0099, Tia
0x009A, Chai
//Frog
0x009B, Lily
0x009C, Ribbot
0x009D, Frobert
0x009E, Camofrog
0x009F, Drift
0x00A0, Wart Jr.
0x00A1, Puddles
0x00A2, Jeremiah
0x00A3, Tad
0x00A4, Cousteau
0x00A5, Huck
0x00A6, Prince
0x00A7, Jambette
0x00A8, Raddle
0x00A9, Gigi
0x00AA, Croque
0x00AB, Diva
0x00AC, Henry
//Goat
0x00AD, Chevre
0x00AE, Nan
0x00AF, Billy
0x00B0, Gruff
0x00B1, Velma
0x00B2, Kidd
0x00B3, Pashmina
//Gorilla
0x00B4, Cesar
0x00B5, Peewee
0x00B6, Boone
0x00B7, Louie
0x00B8, Boyd
0x00B9, Violet
0x00BA, Al
0x00BB, Rocket
0x00BC, Hans
0x00BD, Rilla
//Hamster
0x00BE, Hamlet
0x00BF, Apple
0x00C0, Graham
0x00C1, Rodney
0x00C2, Soleil
0x00C3, Clay
0x00C4, Flurry
0x00C5, Hamphrey
0x00C6, Holden
//Hippo
0x00C7, Rocco
0x00C8, Bubbles
0x00C9, Bertha
0x00CA, Biff
0x00CB, Bitty
0x00CC, Harry
0x00CD, Hippeux
//Horse
0x00CE, Buck
0x00CF, Victoria
0x00D0, Savannah
0x00D1, Elmer
0x00D2, Roscoe
0x00D3, Winnie
0x00D4, Ed
0x00D5, Cleo
0x00D6, Peaches
0x00D7, Annalise
0x00D8, Clyde
0x00D9, Colton
0x00DA, Papi
0x00DB, Julian
0x00DC, Filly
0x00DD, Epona
//Koala
0x00DE, Yuka
0x00DF, Alice
0x00E0, Melba
0x00E1, Sydney
0x00E2, Gonzo
0x00E3, Ozzie
0x00E4, Canberra
0x00E5, Lyman
0x00E6, Eugene
//Kangaroo
0x00E7, Kitt
0x00E8, Mathilda
0x00E9, Carrie
0x00EA, Astrid
0x00EB, Sylvia
0x00EC, Walt
0x00ED, Rooney
0x00EE, Marcie
//Lion
0x00EF, Bud
0x00F0, Elvis
0x00F1, Rex
0x00F2, Leopold
0x00F3, Mott
0x00F4, Rory
0x00F5, Lionel
//Monkey
0x00F6, Nana
0x00F7, Simon
0x00F8, Tammi
0x00F9, Monty
0x00FA, Elise
0x00FB, Flip
0x00FC, Shari
0x00FD, Deli
//Mouse
0x00FE, Dora
0x00FF, Limberg
0x0100, Bella
0x0101, Bree
0x0102, Samson
0x0103, Rod
0x0104, Candi
0x0105, Rizzo
0x0106, Anicotti
0x0107, Broccolo
0x0108, Moose
0x0109, Bettina
0x010A, Greta
0x010B, Penelope
0x010C, Chadder
//Octopus
0x010D, Octavian
0x010E, Marina
0x010F, Zucker
//Ostrich
0x0110, Inkwell
0x0111, Queenie
0x0112, Gladys
0x0113, Sandy
0x0114, Sprocket
0x0115, Julia
0x0116, Cranston
0x0117, Phil
0x0118, Blanche
0x0119, Flora
0x011A, Phoebe
//Eagle
0x011B, Apollo
0x011C, Amelia
0x011D, Pierce
0x011E, Buzz
0x011F, Avery
0x0120, Frank
0x0121, Sterling
0x0122, Keaton
0x0123, Celia
//Penguin
0x0124, Aurora
0x0125, Roald
0x0126, Cube
0x0127, Hopper
0x0128, Friga
0x0129, Gwen
0x012A, Puck
0x012B, Wade
0x012C, Boomer
0x012D, Iggly
0x012E, Tex
0x012F, Flo
0x0130, Sprinkle
//Pig
0x0131, Curly
0x0132, Truffles
0x0133, Rasher
0x0134, Hugh
0x0135, Lucy
0x0136, Crackle
0x0137, Cobb
0x0138, Boris
0x0139, Maggie
0x013A, Peggy
0x013B, Gala
0x013C, Chops
0x013D, Kevin
0x013E, Pancetti
0x013F, Agnes
0x0140, Ganon
//Rabbit
0x0141, Bunnie
0x0142, Dotty
0x0143, Coco
0x0144, Snake
0x0145, Gaston
0x0146, Gabi
0x0147, Pippy
0x0148, Tiffany
0x0149, Genji
0x014A, Ruby
0x014B, Doc
0x014C, Claude
0x014D, Francine
0x014E, Chrissy
0x014F, Hopkins
0x0150, O'Hare
0x0151, Carmen
0x0152, Bonbon
0x0153, Cole
0x0154, Mira
0x0155, Toby
//Rhino
0x0156, Tank
0x0157, Rhonda
0x0158, Spike
0x0159, Hornsby
0x015A, Merengue
0x015B, Renée
//Sheep
0x015C, Vesta
0x015D, Baabara
0x015E, Eunice
0x015F, Stella
0x0160, Cashmere
0x0161, Willow
0x0162, Curlos
0x0163, Wendy
0x0164, Timbra
0x0165, Frita
0x0166, Muffy
0x0167, Pietro
0x0168, Étoile
//Squirrel
0x0169, Peanut
0x016A, Blaire
0x016B, Filbert
0x016C, Pecan
0x016D, Nibbles
0x016E, Agent S
0x016F, Caroline
0x0170, Sally
0x0171, Static
0x0172, Mint
0x0173, Ricky
0x0174, Cally
0x0175, Tasha
0x0176, Sylvana
0x0177, Poppy
0x0178, Sheldon
0x0179, Marshal
0x017A, Hazel
0x017B, Cece
0x017C, Viché
//Tiger
0x017D, Rolf
0x017E, Rowan
0x017F, Tybalt
0x0180, Bangle
0x0181, Leonardo
0x0182, Claudia
0x0183, Bianca
//Wolf
0x0184, Chief
0x0185, Lobo
0x0186, Wolfgang
0x0187, Whitney
0x0188, Dobie
0x0189, Freya
0x018A, Fang
0x018B, Vivian
0x018C, Skye
0x018D, Kyle
0x018E, W. Link
//None
0xFFFF, Empty
